worktree	head	branch	registration	path_state	locked	disposition
/tmp/cs-m6-i2-accept	1485c43fd0bf475d7e9f26a37b976325d79b18a7	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-m6-i2-probe	f122d6e9fb64b9dcd4c5c89c5f422ebbcec7f413	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-m6-i3	6fd3ac5c5340c736d182626348fe6b55c2de2f32	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-m6-p-atomic	815da425877dc7caa6872afcd16a3a5386af4b13	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-m6-p8-admission	5b4751b1962ccf0d7c09be405571691cb829f175	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-m6-p8-probe	34f9792edbfe6c0207029ea868844b2462c28ba6	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-m6-p9-admission	2ea8b9b833310b30d6234275839db17d18703d66	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-m6-p9-probe	01e60296e33e47390c67b0d20a655db38d7f2e4e	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-m6-q-freeze	0159d2e412f232ce59711b05eba3754b22d1a909	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-m6-q-w1	8d72ab3ee531fc17ffb30c8c798413695106188e	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-m6-q1-admission	066e135a457af3b74b5e5dc67ec526937538c452	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-m6-q1-integration	4ff2cfd0efee40aa7fe4bd8131da61426df2480b	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-m6-q1-proposal	a1a6b2fb462896bbec75803cb1ae069e9520e560	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-m6-q2-admission	16de934332e1d8268822a0180367d91f83db6940	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-m6-q2-admission-v2	d43c2dc840eaa55908f0723f0b472db4751945db	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-m6-q2-integration	1a9b2e1d404a54dbbe2613364131dd73c44d577a	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-m6-q2-proposal	e173989c9cfcdfbc293f7d7389fcef436b9a126a	detached	prunable	missing	no	candidate-prune-registration
